Address,City,State,Zip Code,Latitude,Longitude
1205 N. Memorial Parkway,Huntsville,Alabama,35801-5930,34.7430949,-86.6009553
3650 Galleria Circle,Hoover,Alabama,35244-2346,33.377649,-86.81242
8251 Eastchase Parkway,Montgomery,Alabama,36117,32.363889,-86.150884
5225 Commercial Boulevard,Juneau,Alaska,99801-7210,58.3592,-134.483
330 West Dimond Blvd,Anchorage,Alaska,99515-1950,61.143266,-149.884217
4125 DeBarr Road,Anchorage,Alaska,99508-3115,61.210815,-149.804337
3911 Highway 69,Prescott,Arizona,86301-6717,34.548993,-112.3954274
3901 West Costco Drive,Tucson,Arizona,85741-2864,32.3262177,-111.0491606
6255 East Grant Road,Tucson,Arizona,85712-5834,32.2522189,-110.859554
17550 N. 79th Ave.,Glendale,Arizona,85308-8711,33.643277,-112.233474
2887 S Market St,Gilbert,Arizona,85296-6303,33.296095,-111.745647
1445 West Elliot Road,Tempe,Arizona,85284-1103,33.347289,-111.961862
15255 North Hayden Road,Scottsdale,Arizona,85260-2507,33.6241344,-111.9019118
1415 North Arizona Avenue,Gilbert,Arizona,85233-1616,33.376244,-111.840765
595 S Galleria Way,Chandler,Arizona,85226-4932,33.293696,-111.899509
1444 S Sossaman Rd,Mesa,Arizona,85209-3400,33.3886808,-111.6675437
2450 E Beardsley Rd,Phoenix,Arizona,85050-1300,33.670943,-112.028124
19001 N. 27th Ave,Phoenix,Arizona,85027-5036,33.659688,-112.115841
3801 N. 33rd Avenue,Phoenix,Arizona,85017-4508,33.49179,-112.128379
1646 W. Montebello,Phoenix,Arizona,85015-2557,33.5206919,-112.095189
4502 East Oak Street,Phoenix,Arizona,85008-2411,33.473335,-111.985531
10000 W. McDowell Road,Avondale,Arizona,85323,33.467156,-112.274404
4570 E Cactus Rd,Phoenix,Arizona,85032,33.600961,-111.983793
2345 Fenton Pkwy,San Diego,California,92108-4743,32.7789832,-117.1269067
1300 Dana Drive,Redding,California,96003-4071,40.586449,-122.345675
2100 Dr Martin Luther King Jr Way,Chico,California,95928-4422,39.7214025,-121.8096578
7981 East Stockton Boulevard,Sacramento,California,95823-9606,38.4677597,-121.4154069
1600 Expo Parkway,Sacramento,California,95815-4228,38.597139,-121.452409
2299 Bronze Star Drive,Woodland,California,95776-5409,38.6699409,-121.7259571
11260 White Rock Road,Rancho Cordova,California,95742-6571,38.588195,-121.263769
6750 Stanford Ranch Road,Roseville,California,95678-1907,38.78061,-121.267423
1800 Cavitt Court,Folsom,California,95630-6235,38.645206,-121.109598
7000 Auburn Blvd,Citrus Heights,California,95621-4342,38.6903,-121.29859
1006 West Wabash Avenue,Eureka,California,95501-2121,40.7919385,-124.1825438
1900 Santa Rosa Avenue,Santa Rosa,California,95407-7636,38.4204562,-122.7134804
3801 Pelandale Ave.,Modesto,California,95356-8300,37.7003612,-121.0671386
1445 R Street,Merced,California,95340-5850,37.3019943,-120.4940012
2440 Daniels St,Manteca,California,95336-6745,37.784874,-121.260014
1616 East Hammer Lane,Stockton,California,95210-4119,38.018791,-121.292757
1709 Automation Parkway,San Jose,California,95131-1866,37.3886293,-121.8829132
5301 Almaden Expressway,San Jose,California,95118-3603,37.253214,-121.879999
2201 Senter Road,San Jose,California,95112-2627,37.309657,-121.851571
220 Sylvania Avenue,Santa Cruz,California,95060-2161,36.985104,-122.033615
1601 Coleman Avenue,Santa Clara,California,95050-3100,37.357021,-121.938843
300 Vintage Way,Novato,California,94945-5007,38.087238,-122.551076
4801 Central Avenue,Richmond,California,94804-5878,37.898774,-122.320125
198 Plaza Drive,Vallejo,California,94591-3702,38.133192,-122.213745
5101 Business Center Drive,Fairfield,California,94585-1624,38.215406,-122.144911
1900 Davis Street,San Leandro,California,94577-1209,37.7181741,-122.1809332
2800 Independence Drive,Livermore,California,94550-7628,37.702588,-121.812265
22330 Hathaway Avenue,Hayward,California,94541-4861,37.667516,-122.10278
43621 Pacific Commons Blvd,Fremont,California,94538-3809,37.5031232,-121.9748814
3150 Fostoria Way,Danville,California,94526-5553,37.78259,-121.972853
2201 Verne Roberts Circle,Antioch,California,94509-7911,38.009119,-121.837904
1001 Metro Center Boulevard,Foster City,California,94404-2177,37.561366,-122.275144
450 10th Street,San Francisco,California,94103-4304,37.770488,-122.411106
150 Lawrence Station Road,Sunnyvale,California,94086-5328,37.372027,-121.994779
451 South Airport Boulevard,South San Francisco,California,94080-6909,37.6422308,-122.4010744
1600 El Camino Real,South San Francisco,California,94080-1206,37.6654356,-122.4490857
1000 North Rengstorff Avenue,Mountain View,California,94043-1716,37.420676,-122.095061
801 Tioga Avenue,Sand City,California,93955-3051,36.6170705,-121.8474767
1339 North Davis Road,Salinas,California,93907-1988,36.703939,-121.668608
4500 W Shaw,Fresno,California,93722-6200,36.80989,-119.874081
380 West Ashlan Avenue,Clovis,California,93612-5611,36.792187,-119.714342
1141 West Avenue L,Lancaster,California,93534-7077,34.66129,-118.151429
1335 South Bradley,Santa Maria,California,93454-8006,34.936541,-120.42084
1540 Froom Ranch Way,San Luis Obispo,California,93405-7211,35.251917,-120.691013
1405 W Cameron Ave,Visalia,California,93277-9527,36.292806,-119.306638
7095 Market Place Drive,Goleta,California,93117-5905,34.42789,-119.874572
2001 East Ventura Boulevard,Oxnard,California,93030-1813,34.2251071,-119.148567
22633 Savi Ranch Parkway,Yorba Linda,California,92887-4664,33.87567,-117.74385
480 McKinley Street,Corona,California,92879-1291,33.8899732,-117.5208947
11000 Garden Grove Boulevard,Garden Grove,California,92843-1206,33.773511,-117.940271
900 South Harbor Boulevard,Fullerton,California,92832-3098,33.862449,-117.92211
2655 El Camino Real,Tustin,California,92782-8918,33.7282,-117.796294
2700 Park Ave,Tustin,California,92782-2708,33.699689,-117.822618
17900 Newhope Street,Fountain Valley,California,92708-5404,33.703448,-117.931978
27972 Cabot Road,Laguna Niguel,California,92677-1211,33.5569565,-117.6788758
33961 Doheny Park Road,San Juan Capistrano,California,92675-4836,33.469498,-117.677697
115 Technology West Drive,Irvine,California,92618-2408,33.6570006,-117.7397337
12700 Day Street,Moreno Valley,California,92553-7531,33.935555,-117.276579
29315 Central Ave,Lake Elsinore,California,92532-2212,33.696337,-117.339182
1099 East Hospitality Lane,San Bernardino,California,92408-2836,34.068044,-117.263077
